distance,duration,gender,age_group
3.51,18.066666666666663,M,35 - 54
19.01,99.0,M,35 - 54
13.82,74.93333333333334,M,35 - 54
68.11,354.9,M,18 - 34
76.04,409.1833333333333,M,35 - 54
15.29,84.0,M,35 - 54
63.42,285.2833333333333,M,35 - 54
34.1,239.0,M,35 - 54
28.24,174.38333333333333,F,18 - 34
41.32,372.6666666666666,M,35 - 54
26.169,162.95,M,18 - 34
17.009999999999998,85.25,M,35 - 54
0.0,0.0,M,35 - 54
27.39,154.31666666666666,M,35 - 54
0.0,0.0,M,35 - 54
99.08,803.75,F,35 - 54
39.58,251.2333333333333,M,35 - 54
52.69,310.7333333333333,M,55 +
78.19,402.0,M,18 - 34
0.0,0.0,M,18 - 34
0.0,0.0,M,35 - 54
0.0,0.0,F,35 - 54
10.92,68.0,M,55 +
24.07,115.23333333333332,M,18 - 34
21.53,121.28333333333332,F,35 - 54
0.0,0.0,M,35 - 54
0.0,0.0,F,35 - 54
15.97,88.5,F,35 - 54
15.44,93.9,F,35 - 54
0.0,0.0,M,18 - 34
0.0,0.0,M,35 - 54
3.07,17.6,M,35 - 54
56.81,281.1,M,35 - 54
0.0,0.0,M,18 - 34
26.05,129.48333333333335,M,35 - 54
62.86,294.4833333333333,F,18 - 34
56.02,336.95,M,35 - 54
0.0,0.0,M,55 +
0.0,0.0,M,18 - 34
80.64,396.73333333333335,M,18 - 34
36.6,167.71666666666667,M,18 - 34
31.91,265.5833333333333,M,35 - 54
80.22,328.05,M,18 - 34
39.66,295.93333333333334,M,35 - 54
22.52,104.75,F,35 - 54
61.09,280.5833333333333,M,18 - 34
0.0,0.0,M,55 +
0.0,0.0,M,35 - 54
108.17,759.0,M,35 - 54
60.17,336.56666666666666,M,35 - 54
46.2,245.35,M,35 - 54
25.71,135.4,M,35 - 54
11.34,91.0,M,35 - 54
0.0,0.0,M,18 - 34
0.0,0.0,M,35 - 54
9.88,60.016666666666666,M,35 - 54
8.44,43.98333333333333,M,35 - 54
5.69,40.45,F,35 - 54
0.0,0.0,M,35 - 54
12.9,67.0,F,18 - 34
0.0,0.0,M,35 - 54
39.43,225.16666666666663,M,35 - 54
10.0,51.21666666666667,M,35 - 54
16.299,74.85,M,18 - 34
42.56,222.96666666666667,M,35 - 54
0.0,0.0,M,35 - 54
0.0,0.0,M,35 - 54
0.0,0.0,M,35 - 54
7.27,44.5,M,35 - 54
76.04,363.65,F,18 - 34
21.58,144.33333333333334,M,35 - 54
0.0,0.0,M,18 - 34
50.339,263.40000000000003,F,35 - 54
96.209,426.55,M,35 - 54
56.14,253.95,M,18 - 34
0.0,0.0,M,35 - 54
43.31,203.13333333333333,M,35 - 54
16.739,92.85,M,35 - 54
22.55,142.23333333333335,F,35 - 54
61.64,301.93333333333334,M,35 - 54
43.11,194.6833333333333,M,35 - 54
9.48,46.11666666666667,M,35 - 54
7.43,67.0,F,35 - 54
59.82,315.45,M,18 - 34
0.0,0.0,M,55 +
29.130000000000003,145.6,M,35 - 54
27.9,144.0,M,35 - 54
15.04,83.76666666666667,M,35 - 54
45.1,232.01666666666665,M,18 - 34
73.13,362.8666666666667,M,35 - 54
0.0,0.0,F,18 - 34
7.66,42.016666666666666,M,18 - 34
8.05,39.05,M,55 +
50.209,241.3333333333333,M,18 - 34
15.760000000000002,105.18333333333334,F,18 - 34
20.0,130.73333333333335,F,35 - 54
0.0,0.0,F,55 +
16.63,113.0,M,55 +
65.16,395.51666666666665,M,55 +
0.0,0.0,M,35 - 54
0.0,0.0,M,35 - 54
0.0,0.0,F,35 - 54
96.85,602.3833333333333,M,18 - 34
58.84,326.0,M,35 - 54
0.0,0.0,M,35 - 54
0.0,0.0,M,18 - 34
111.55,509.0,M,18 - 34
77.28999999999999,343.31666666666666,M,35 - 54
0.0,0.0,M,35 - 54
3.91,21.53333333333333,M,18 - 34
0.0,0.0,M,18 - 34
33.85,172.76666666666665,M,18 - 34
0.0,0.0,M,35 - 54
41.99,248.28333333333336,F,18 - 34
25.99,128.8,M,35 - 54
62.65,409.48333333333335,F,35 - 54
0.0,0.0,M,35 - 54
6.59,37.8,M,35 - 54
0.0,0.0,M,35 - 54
0.0,0.0,M,18 - 34
10.28,61.266666666666666,M,35 - 54
21.68,145.13333333333333,M,55 +
47.409,266.35,M,35 - 54
15.81,85.25,M,18 - 34
57.49,329.81666666666666,M,35 - 54
20.54,127.58333333333331,M,35 - 54
5.01,28.33333333333333,M,18 - 34
0.0,0.0,M,35 - 54
0.0,0.0,M,35 - 54
52.11,474.8333333333333,M,35 - 54
23.11,135.73333333333335,M,35 - 54
18.81,91.93333333333334,M,35 - 54
0.0,0.0,M,35 - 54
16.59,78.43333333333334,F,18 - 34
41.040000000000006,246.56666666666663,M,35 - 54
27.53,160.48333333333335,F,18 - 34
0.0,0.0,M,35 - 54
26.26,135.0,M,35 - 54
5.72,30.683333333333334,F,35 - 54
0.0,0.0,M,35 - 54
15.47,74.86666666666666,M,35 - 54
56.36000000000001,285.01666666666665,F,18 - 34
9.03,69.95,F,35 - 54
46.71,280.9666666666667,M,35 - 54
6.34,35.4,M,35 - 54
0.0,0.0,M,18 - 34
13.8,141.0,M,35 - 54
4.699999999999999,96.31666666666666,M,18 - 34
42.28,254.7,M,35 - 54
29.47,149.28333333333333,F,35 - 54
2.56,11.9,M,18 - 34
49.56,283.6666666666667,M,55 +
32.129999999999995,246.5833333333333,F,35 - 54
0.0,0.0,M,35 - 54
40.37,186.1,M,35 - 54
26.56,261.18333333333334,M,55 +
62.71,297.7833333333333,M,35 - 54
0.0,0.0,M,18 - 34
7.039,46.91666666666667,F,35 - 54
74.46,470.06666666666666,M,35 - 54
0.0,0.0,M,35 - 54
14.2,117.3,M,18 - 34
26.24,153.08333333333334,F,18 - 34
79.61,368.9,M,18 - 34
21.6,111.26666666666668,M,35 - 54
15.89,86.53333333333333,F,35 - 54
11.52,56.41666666666667,M,35 - 54
61.6,349.05,M,35 - 54
49.868,255.6,M,55 +
5.0,65.0,F,35 - 54
42.799,265.3833333333333,M,35 - 54
76.26,393.1666666666666,M,18 - 34
0.0,0.0,F,18 - 34
16.5,102.03333333333332,M,18 - 34
13.18,55.66666666666667,M,18 - 34
19.28,107.28333333333332,F,35 - 54
26.29,153.78333333333333,F,18 - 34
61.82,379.6333333333333,F,35 - 54
139.35,682.5833333333334,M,18 - 34
16.76,81.78333333333333,M,18 - 34
0.0,0.0,F,35 - 54
0.0,0.0,M,18 - 34
16.61,95.26666666666668,M,35 - 54
23.09,123.0,M,35 - 54
4.82,25.55,M,18 - 34
33.510000000000005,171.0,M,18 - 34
36.66,267.3833333333333,M,35 - 54
0.0,0.0,M,18 - 34
0.0,0.0,M,35 - 54
51.76,276.81666666666666,M,35 - 54
66.1,421.15,M,35 - 54
0.0,0.0,M,18 - 34
81.76,400.3833333333333,F,18 - 34
85.75,623.7166666666667,M,35 - 54
17.54,89.6,M,35 - 54
5.15,26.833333333333336,M,35 - 54
39.67,220.8,F,18 - 34
0.0,0.0,F,18 - 34
13.68,69.11666666666667,M,55 +
32.0,207.0,M,35 - 54
166.58,705.4,M,18 - 34
0.0,0.0,M,35 - 54
16.560000000000002,173.5,F,35 - 54
19.290000000000003,111.28333333333332,M,18 - 34
83.61,380.6333333333333,M,18 - 34
4.76,23.666666666666668,M,35 - 54
0.0,0.0,F,35 - 54
0.0,0.0,M,18 - 34
36.26,189.0,M,18 - 34
8.04,39.9,M,35 - 54
0.0,0.0,M,35 - 54
23.09,117.06666666666666,M,55 +
0.0,0.0,M,18 - 34
42.75,214.0,M,18 - 34
87.55,406.6166666666667,M,18 - 34
17.240000000000002,129.0,F,35 - 54
0.0,0.0,F,18 - 34
0.0,0.0,M,18 - 34
25.37,173.0,M,35 - 54
22.39,110.31666666666666,M,35 - 54
36.33,217.3333333333333,M,18 - 34
10.28,60.0,F,55 +
93.58,545.0,M,18 - 34
